system,method,rep,tag,x,occupancy,xlabel
MBP,Least-counts,1,mbp_s1_lc,0.0,0.005963684015749465,window expansion
MBP,Least-counts,1,mbp_s1_lc,1.0,0.016507817097511996,window expansion
MBP,Least-counts,1,mbp_s1_lc,2.0,0.03460918556986651,window expansion
MBP,Least-counts,2,mbp_s2_lc,-2.0,0.0,window expansion
MBP,Least-counts,2,mbp_s2_lc,-1.0,0.0,window expansion
MBP,Least-counts,2,mbp_s2_lc,0.0,0.00010920275918971553,window expansion
MBP,Least-counts,2,mbp_s2_lc,1.0,0.002020251045009737,window expansion
MBP,Least-counts,2,mbp_s2_lc,2.0,0.010503687615395971,window expansion
MBP,kNN-AS,0,mbp_knn,-2.0,0.0,window expansion
MBP,kNN-AS,0,mbp_knn,-1.0,0.00020222733183280654,window expansion
MBP,kNN-AS,0,mbp_knn,0.0,0.001423680416102958,window expansion
MBP,kNN-AS,0,mbp_knn,1.0,0.005441937499620824,window expansion
MBP,kNN-AS,0,mbp_knn,2.0,0.01816810349185934,window expansion
MBP,kNN-AS,1,mbp_s1_knn,-2.0,6.066819954984196e-06,window expansion
MBP,kNN-AS,1,mbp_s1_knn,-1.0,0.0006127488154534038,window expansion
MBP,kNN-AS,1,mbp_s1_knn,0.0,0.007603747676913525,window expansion
MBP,kNN-AS,1,mbp_s1_knn,1.0,0.04149907076541023,window expansion
MBP,kNN-AS,1,mbp_s1_knn,2.0,0.097635355808879,window expansion
MBP,kNN-AS,2,mbp_s2_knn,-2.0,0.0,window expansion
MBP,kNN-AS,2,mbp_s2_knn,-1.0,0.0,window expansion
MBP,kNN-AS,2,mbp_s2_knn,0.0,2.2245006501608718e-05,window expansion
MBP,kNN-AS,2,mbp_s2_knn,1.0,0.001207297171041855,window expansion
MBP,kNN-AS,2,mbp_s2_knn,2.0,0.006058730861710884,window expansion
MBP,MOAS,0,mbp_static,-2.0,0.05187737743506986,window expansion
MBP,MOAS,0,mbp_static,-1.0,0.1569021199491196,window expansion
MBP,MOAS,0,mbp_static,0.0,0.28404851029236006,window expansion
MBP,MOAS,0,mbp_static,1.0,0.40323118830802457,window expansion
MBP,MOAS,0,mbp_static,2.0,0.4897278626795526,window expansion
MBP,MOAS,1,mbp_s1_static,-2.0,0.1886497887735519,window expansion
MBP,MOAS,1,mbp_s1_static,-1.0,0.2689926854374076,window expansion
MBP,MOAS,1,mbp_s1_static,0.0,0.3714531853838174,window expansion
MBP,MOAS,1,mbp_s1_static,1.0,0.4404733737383542,window expansion
MBP,MOAS,1,mbp_s1_static,2.0,0.4728823259378798,window expansion
MBP,MOAS,2,mbp_s2_static,-2.0,0.1708598503922199,window expansion
MBP,MOAS,2,mbp_s2_static,-1.0,0.2503271027092396,window expansion
MBP,MOAS,2,mbp_s2_static,0.0,0.42117684173486786,window expansion
MBP,MOAS,2,mbp_s2_static,1.0,0.5452230870811113,window expansion
MBP,MOAS,2,mbp_s2_static,2.0,0.6376794009217521,window expansion
